xp,level,streak,accuracy,problems_solved,submission_count,placement_ready
1655,4,14,9,1,12,0
9999,99,300,100,0,0,0
3383,4,21,72,195,226,1
2256,8,7,91,11,16,0
7382,18,2,92,130,184,1
2019,2,0,74,227,254,0
4024,8,80,47,15,15,0
6618,18,16,47,48,70,0
7716,18,25,35,22,29,0
6643,19,15,64,29,41,1
5124,6,27,59,99,120,1
2544,9,40,26,3,4,0
1192,4,42,44,12,12,0
5400,12,51,51,37,45,0
1982,2,5,76,44,61,0
1901,4,16,31,47,64,0
5522,10,35,74,13,19,0
6094,12,4,61,14,15,0
1376,2,2,25,25,37,0
2736,10,79,42,28,41,0
2226,4,14,65,50,64,0
7892,12,3,49,281,371,1
3983,7,66,80,14,15,0
10550,20,66,78,5,7,0
2416,8,19,65,8,11,0
4831,9,18,79,4,4,0
6673,11,16,75,25,28,0
1419,2,98,87,41,49,1
2787,3,5,65,81,101,0
4625,7,66,91,44,56,1
4563,15,33,59,36,40,1
5660,8,16,51,46,63,0
5652,9,107,90,18,24,1
7756,19,11,46,5,5,0
2520,5,15,78,11,11,0
629,2,73,65,13,18,0
4188,6,100,42,50,69,0
1803,3,11,50,36,50,0
8392,17,76,58,128,129,1
2548,4,24,52,16,20,0
3191,11,5,54,26,32,0
2982,6,32,66,78,94,0
12340,17,20,15,231,295,1
2108,4,15,57,2,2,0
2405,5,42,53,45,62,0
4432,17,7,64,43,53,1
3488,16,190,83,18,23,1
3724,10,12,74,84,99,1
5015,19,20,70,65,96,1
4341,3,4,100,117,166,1
1585,5,17,60,13,17,0
2031,6,50,46,1,2,0
3508,7,32,34,16,20,0
7834,13,52,68,31,42,1
7131,15,124,40,9,9,0
3472,8,116,50,136,179,1
2041,1,13,63,70,84,0
6013,19,33,86,17,18,1
1663,2,4,63,147,151,0
3163,11,18,75,27,30,0
7818,9,58,63,147,174,1
4921,18,46,65,5,7,1
8144,16,7,64,148,200,1
1824,7,0,42,11,16,0
6702,14,35,31,76,102,1
8697,15,56,72,17,18,1
2147,2,17,79,89,95,0
2978,8,48,67,54,71,1
4587,15,4,38,29,31,0
4308,9,162,40,32,34,0
7727,15,100,58,64,67,1
4034,18,38,89,44,51,1
4108,6,9,34,83,113,0
4035,7,126,68,200,221,1
3123,13,110,68,30,38,1
7422,15,149,56,124,168,1
10304,18,15,48,31,35,0
3029,7,8,76,52,53,1
12638,19,123,38,77,80,1
4313,11,42,61,299,448,1
8299,16,6,65,47,52,1
1466,2,53,70,78,89,1
1666,3,20,69,22,32,0
4512,8,90,69,158,230,1
5048,8,32,70,45,46,0
6674,20,54,82,103,145,1
9837,19,99,40,26,31,0
2766,9,38,52,2,2,0
4068,9,28,73,50,71,1
4370,10,1,22,2,2,0
1130,1,77,59,29,38,0
1278,4,66,34,15,18,0
5740,17,43,59,5,6,0
2015,3,35,43,65,83,0
7868,6,58,15,242,332,0
5630,10,71,62,20,28,0
651,1,26,69,5,6,0
1228,4,23,77,12,12,0
2716,4,7,96,18,20,0
3600,9,48,66,21,24,0
5519,11,139,100,87,103,1
7884,17,24,80,18,18,1
3228,3,19,67,92,109,1
492,2,28,75,6,7,0
3317,9,30,52,41,58,1
7128,14,22,30,62,69,0
1686,3,45,89,3,3,0
8748,12,31,26,126,144,1
3776,14,48,62,11,13,0
3552,12,1,44,57,63,0
4768,8,126,92,55,66,1
8568,18,27,30,51,74,1
1915,5,127,64,31,36,0
3208,14,3,44,24,35,0
6618,11,83,45,1,1,0
3145,9,5,76,77,101,1
2512,2,44,75,136,161,0
